number,voters,ballots,mandates,province_id
1,503466,165870,8,1
2,430902,216213,7,1
3,568506,243994,9,1
4,390690,179790,6,1
5,404386,175699,6,1
1,295108,83314,6,2
2,269399,120164,6,2
3,225137,99204,5,2
4,261212,97470,5,2
5,253675,111151,5,2
6,290864,129507,6,2
1,272489,92080,5,3
2,484059,251148,9,3
3,293518,160210,6,3
4,307458,152974,6,3
5,348560,176313,7,3
1,184465,70159,7,4
2,150998,74700,6,4
3,122612,54880,5,4
4,157645,62961,6,4
5,161984,75636,6,4
1,337645,88171,6,5
2,296097,75378,5,5
3,323079,146541,6,5
4,458180,222434,8,5
5,362677,181344,6,5
6,290310,149610,5,5
1,313550,147729,5,6
2,332132,155778,5,6
3,576909,202671,9,6
4,439704,218293,7,6
5,408831,195883,7,6
6,369527,200072,6,6
1,409963,176248,5,7
2,485904,200440,6,7
3,423007,168277,5,7
4,693186,333289,9,7
5,572127,280793,8,7
6,684080,346587,9,7
7,687615,319734,9,7
1,204134,72439,7,8
2,143446,61057,5,8
3,144955,52882,6,8
4,141617,61963,5,8
5,187646,85390,7,8
1,353553,169447,7,9
2,297294,150880,6,9
3,262428,120573,6,9
4,302605,165069,6,9
5,374708,186984,8,9
1,218824,75656,7,10
2,140160,66595,5,10
3,156008,72908,5,10
4,171187,88967,5,10
5,241209,122426,8,10
1,363185,170719,7,11
2,412313,186592,8,11
3,359525,124522,7,11
4,267662,139839,6,11
5,253765,114148,5,11
1,495569,235320,7,12
2,543097,201722,7,12
3,571630,230616,7,12
4,579744,207241,7,12
5,519671,164050,7,12
6,427300,169431,6,12
7,600830,210648,7,12
1,208188,104631,6,13
2,213917,112954,6,13
3,203875,115017,6,13
4,166721,57150,5,13
5,234643,128256,7,13
1,241215,99290,6,14
2,232464,116888,6,14
3,259882,110660,7,14
4,165887,77668,5,14
5,199523,98595,6,14
1,445382,154403,6,15
2,442525,217089,7,15
3,446265,210363,7,15
4,333786,167216,5,15
5,450950,212937,7,15
6,433511,209918,7,15
1,365996,121561,8,16
2,208593,98827,5,16
3,224609,107765,5,16
4,238521,109373,5,16
5,280047,137018,7,16
